id,grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
664d03e063cf0ef8f60c91b3,Novi Sad,Gradske lokacije,Detelinara,25.0,Garsonjera,1/4 sprata,,Centralno grejanje,70000.0,Da,,Da
65df7631155b837898058288,Beograd,Vračar,Crveni Krst Vračar,82.0,3 sobe,Visoko prizemlje/4 sprata,,Etažno grejanje,297000.0,,,Da
6675fedfcc3e1ed6d30d4ed5,Novi Sad,Gradske lokacije,Detelinara,50.0,2.5 soba,1/4 sprata,Renovirano,Centralno grejanje,115000.0,,,Da
6675fee2cc3e1ed6d30d4edb,Novi Sad,Gradske lokacije,Grbavica,31.0,1 soba,2/6 spratova,,Centralno grejanje,87000.0,Da,,Da
6655fac91341f30aac081a7b,Niš,Gradske lokacije,Medijana,52.0,2 sobe,4/5 spratova,,Etažno grejanje,114950.0,,,Da
6655fac81341f30aac081a75,Niš,Gradske lokacije,Medijana,67.0,3 sobe,1/5 spratova,,Etažno grejanje,148700.0,,,Da
667d7ec0acd0fd86190418b3,Novi Sad,Gradske lokacije,Grbavica,69.0,3 sobe,1/5 spratova,Renovirano,Centralno grejanje,184990.0,,,Da
653e595781cc27ba17071ed3,Kragujevac,Gradske lokacije,Centar,61.0,2.5 soba,3/4 sprata,,Centralno grejanje,76900.0,,,Da
655e725400123dc04602cfad,Novi Sad,Gradske lokacije,Telep,61.0,2.5 soba,2/3 sprata,,Grejanje na gas,138020.0,,,Da
655e4853a1dcf42d680bc48e,Novi Sad,Gradske lokacije,Telep,66.0,2.5 soba,Visoko prizemlje/3 sprata,,Grejanje na gas,136990.0,,,Da
64a99d5704bd6bc71f089e2a,Novi Sad,Gradske lokacije,Veternik,60.0,2.5 soba,2/2 sprata,,Podno grejanje,108150.0,,,Da
6497535e15703795220387a9,Novi Sad,Gradske lokacije,Bulevar Evrope,31.0,2.5 soba,4/4 sprata,,Grejanje na gas,92700.0,Da,,Da
667b35b92384ec28fa0db417,Novi Sad,Gradske lokacije,Novo Naselje,65.0,2.5 soba,Prizemlje/3 sprata,Renovirano,Centralno grejanje,125660.0,,,Da
6655eac73f4677301404abe7,Kragujevac,Gradske lokacije,Centralna radionica,52.0,2 sobe,1/6 spratova,,Centralno grejanje,61500.0,Da,,Da
64d24d23c07ff0d60000018f,Subotica,Gradske lokacije,Kertvaroš,40.0,1.5 soba,1/3 sprata,,,56500.0,,,Da
660fd4bc44ad00eb4f0ade6d,Novi Sad,Gradske lokacije,Detelinara,46.0,2 sobe,4/5 spratova,,Centralno grejanje,110000.0,Da,,Da
6655e7d7ce9d51e3d40b3a2a,Beograd,Voždovac opština,Voždovačka crkva,110.0,4 sobe,10/22 sprata,,Centralno grejanje,245000.0,Da,,Da
665d7437ae1d2e1bd6039aad,Novi Sad,Gradske lokacije,Petrovaradin,58.0,2.5 soba,Visoko prizemlje/4 sprata,,,131430.0,Da,,Da
66229a024456548a9b0d2ceb,Novi Sad,Gradske lokacije,Bulevar Oslobođenja,41.0,1.5 soba,6. sprat,,Centralno grejanje,103500.0,Da,,Da
66603d5abacc9404d10bfbe3,Novi Sad,Gradske lokacije,Adice,33.0,Garsonjera,Prizemlje/2 sprata,,,45580.0,,,
65a80c5d6c8c2e2f9007400e,Subotica,Okolne lokacije,Palić,43.0,2 sobe,2. sprat,,Grejanje na gas,86120.0,,,Da
6641dadd9d5e0bdd65077463,Niš,Gradske lokacije,Medijana,77.0,3 sobe,3/5 spratova,,Centralno grejanje,108000.0,,,
667bfa83c48ba42c16093b07,Kragujevac,Gradske lokacije,Centar,71.0,2.5 soba,3/3 sprata,,Centralno grejanje,72500.0,,,
660beb8580d5b5fe0a04e166,Jagodina,Gradske lokacije,Strelište,57.0,1.5 soba,2/2 sprata,,,56500.0,,,Da
667bcbcaffdccd168a06dfa9,Beograd,Palilula opština,Karaburma,34.0,1 soba,3/5 spratova,,Grejanje na struju,86500.0,,,Da
6489cd25624505f3fe002e99,Novi Sad,Gradske lokacije,Petrovaradin,67.0,3 sobe,4/5 spratova,,,112820.0,Da,,
664f350ff8e26c62160a7a1b,Novi Sad,Gradske lokacije,Avijatičarsko Naselje,34.0,2.5 soba,6/7 spratova,,,67700.0,Da,,Da
644abb07dc8ccef6c1020364,Beograd,Voždovac opština,Dušanovac,142.0,5 soba,7/7 spratova,,Centralno grejanje,383211.0,,,
644abb06dc8ccef6c1020361,Beograd,Voždovac opština,Dušanovac,124.0,4 sobe,7/7 spratova,,Centralno grejanje,335070.0,,,
6679f41ca15788309407f539,Novi Sad,Gradske lokacije,Novo Naselje,47.0,2 sobe,2/4 sprata,Renovirano,Centralno grejanje,91000.0,,,Da
650c26b0e7df95833a07c0ad,Beograd,Stari Grad opština,Dorćol,86.0,3.5 soba,2/3 sprata,Renovirano,Etažno grejanje,379000.0,,,Da
65af7e3eeb6c0b61530981dd,Beograd,Vračar,Južni Bulevar,86.0,4 sobe,2/5 spratova,,Centralno grejanje,283800.0,,,Da
66069110e4278b3f5f0347f4,Beograd,Vračar,Južni Bulevar,86.0,4 sobe,1/6 spratova,,Centralno grejanje,387000.0,,,
666c379e9f35cf19210283c4,Beograd,Voždovac opština,Vojvode Stepe,86.0,3 sobe,4/8 spratova,,Centralno grejanje,315000.0,,,Da
665f048d3ab9e160ec04992f,Novi Sad,Gradske lokacije,Telep,33.0,1 soba,3/3 sprata,,,63860.0,,,Da
6571e062ca7257263a0c41b8,Novi Sad,Gradske lokacije,Bulevar Evrope,37.0,1.5 soba,Visoko prizemlje/6 spratova,,,83430.0,Da,,Da
667cd33f8b21a8726a035967,Beograd,Palilula opština,Bogoslovija,62.0,3.5 soba,2/5 spratova,,Etažno grejanje,165000.0,Da,,Da
660bed9580d5b5fe0a04e1fb,Beograd,Rakovica opština,Labudovo Brdo,94.0,3 sobe,1/2 sprata,,Etažno grejanje,145000.0,,,
6655ce4252f600169404547c,Niš,Gradske lokacije,Medijana,75.0,2.5 soba,3/5 spratova,,,121150.0,,,Da
648c678066d0e762300880bb,Beograd,Zemun opština,Zemun,71.0,2.5 soba,2/2 sprata,,Etažno grejanje,131900.0,,,
65e87ff13570450c0c027618,Novi Sad,Gradske lokacije,Telep,105.0,4 sobe,1/2 sprata,,Grejanje na gas,220000.0,,,Da
65842df5513599e545035174,Beograd,Voždovac opština,Kumodraž,35.0,2 sobe,3/4 sprata,,Etažno grejanje,93000.0,,,Da
657984eb644b9f99e40051e3,Novi Sad,Gradske lokacije,Adice,47.0,1.5 soba,1/2 sprata,,Grejanje na gas,53000.0,,,Da
6655c4b052f6001694045349,Novi Sad,Gradske lokacije,Avijatičarsko Naselje,59.0,3 sobe,4/5 spratova,Renovirano,Centralno grejanje,128750.0,,,Da
64798f386ce14de8ab010198,Niš,Gradske lokacije,Pantelej,60.0,2.5 soba,Prizemlje/4 sprata,,,84000.0,,,Da
666892ff88d473466c0d9951,Beograd,Novi Beograd,Bežanijski Blokovi,56.0,2 sobe,8/10 spratova,,Centralno grejanje,214500.0,,,Da
6661e1736a05e460480bcaca,Beograd,Zvezdara opština,Severni Bulevar,96.0,2 sobe,Prizemlje/4 sprata,,Centralno grejanje,229000.0,,,
663f37feee5b009af70d1392,Novi Sad,Gradske lokacije,Novo Naselje,37.0,1.5 soba,3/5 spratova,,,85000.0,,,Da
667a9d323cb7b4b34e072036,Novi Sad,Gradske lokacije,Adice,60.0,3 sobe,1/2 sprata,,,86520.0,,,
667d40db7c1dc5f16a0e0dc7,Novi Sad,Gradske lokacije,Adice,40.0,2.5 soba,2/2 sprata,,Podno grejanje,82400.0,,,Da
66530660d58f243867013793,Subotica,Gradske lokacije,Kertvaroš,71.0,3 sobe,1/3 sprata,,Grejanje na gas,144000.0,,,
6651de6af598efe22601e806,Beograd,Vračar,Crveni Krst Vračar,43.0,2 sobe,7/8 spratova,,,180600.0,Ne,,Da
663caf11e90d905c290d8cf6,Šabac,Gradske lokacije,Živinarnik,56.0,2 sobe,1/3 sprata,,Etažno grejanje,73000.0,,,
66507e0cb5a199187503b3f4,Šabac,Gradske lokacije,Centar,52.0,2 sobe,3/4 sprata,Renovirano,Centralno grejanje,72500.0,,,Da
6655af22b3f630f183097689,Beograd,Zemun opština,Zemun,263.0,6.5 soba,1/1 sprat,,Centralno grejanje,385000.0,,,Da
64956fc955a9eaccdf0534d2,Novi Sad,Gradske lokacije,Telep,57.0,2.5 soba,1/3 sprata,,,123090.0,Da,,Da
6661e1616a05e460480bcac7,Beograd,Palilula opština,Karaburma,45.0,1.5 soba,2/2 sprata,Renovirano,Etažno grejanje,95000.0,,,
659eb6e60f208a4649090d50,Beograd,Savski Venac,Dedinje,53.0,1.5 soba,5/5 spratova,,Centralno grejanje,185000.0,Da,,
