grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
Beograd,Vračar,Kalenić,17.0,Garsonjera,Prizemlje/5 spratova,,Centralno grejanje,56000.0,,,
Beograd,Palilula opština,Karaburma,73.0,3 sobe,10/14 spratova,Renovirano,Centralno grejanje,169800.0,Da,,Da
Beograd,Čukarica opština,Čukarica,44.0,2 sobe,1/4 sprata,Renovirano,Centralno grejanje,118000.0,,,
Beograd,Vračar,Kalenić,110.0,4 sobe,4/7 spratova,,Centralno grejanje,580000.0,,,
Beograd,Novi Beograd,Blok 65 - WEST 65,51.0,2 sobe,2/6 spratova,,Centralno grejanje,259000.0,Da,,
Beograd,Novi Beograd,Blok 45,61.0,2 sobe,Prizemlje/15 spratova,,Centralno grejanje,133000.0,Da,,
Beograd,Palilula opština,Karaburma,46.0,2 sobe,1/5 spratova,,Grejanje na struju,110000.0,,,Da
Beograd,Novi Beograd,Blok 1 - Fontana,32.0,1 soba,5/8 spratova,,Centralno grejanje,119500.0,Da,,
Beograd,Novi Beograd,Blok 3,41.0,1.5 soba,3/5 spratova,Renovirano,Centralno grejanje,125000.0,,,
Beograd,Zvezdara opština,Mirijevo,35.0,1.5 soba,1/5 spratova,,,77000.0,Da,,
Beograd,Zemun opština,Batajnica,67.0,3 sobe,1. sprat,,Centralno grejanje,84000.0,,,Da
Beograd,Čukarica opština,Čukarica,44.0,2 sobe,1/40 spratova,,Grejanje na gas,150000.0,Da,,Da
Beograd,Voždovac opština,Voždovac,86.0,3 sobe,4/7 spratova,,Centralno grejanje,315000.0,Da,,Da
Beograd,Zvezdara opština,Mirijevo,56.0,2.5 soba,4/4 sprata,,,101000.0,,,Da
Beograd,Rakovica opština,Rakovica,56.0,2 sobe,12/12 spratova,Renovirano,,125000.0,,,Da
Beograd,Voždovac opština,Šumice,30.0,1 soba,1/4 sprata,,,118000.0,,,Da
Beograd,Voždovac opština,Braće Jerković,70.0,2.5 soba,Visoko prizemlje/4 sprata,,Centralno grejanje,130000.0,,,Da
Beograd,Savski Venac,Dedinje,135.0,4 sobe,3/4 sprata,,Centralno grejanje,319000.0,,,
Beograd,Novi Beograd,Bežanijski Blokovi,64.0,2.5 soba,19/19 spratova,Renovirano,Centralno grejanje,140000.0,Ne,,
Beograd,Zvezdara opština,Mirijevo,32.0,1 soba,4/4 sprata,Renovirano,Centralno grejanje,85000.0,,,
Beograd,Čukarica opština,Čukarica,39.0,1.5 soba,5/5 spratova,,Centralno grejanje,96000.0,,,Da
Beograd,Palilula opština,Borča,79.0,3.5 soba,1/1 sprat,,Grejanje na struju,165000.0,,,Da
Beograd,Zvezdara opština,Kluz,58.0,2 sobe,4/4 sprata,,Centralno grejanje,178640.0,Da,,
Beograd,Voždovac opština,Lekino Brdo,49.0,2 sobe,1/4 sprata,,Centralno grejanje,162000.0,Da,,Da
Beograd,Vračar,Kalenić,74.0,3 sobe,1/3 sprata,Renovirano,Centralno grejanje,347800.0,,,Da
Beograd,Palilula opština,Profesorska Kolonija,140.0,6 soba,6/6 spratova,,,305000.0,Da,,Da
Beograd,Zvezdara opština,Zvezdara,32.0,1.5 soba,1/4 sprata,,Etažno grejanje,93600.0,Da,,Da
Beograd,Zemun opština,Zemun,123.0,4 sobe,3/3 sprata,,Etažno grejanje,275000.0,Da,,Da
Beograd,Zvezdara opština,Kluz,90.0,3 sobe,5/6 spratova,,Centralno grejanje,164900.0,Da,,Da
Beograd,Palilula opština,Višnjička Banja,76.0,3 sobe,3/5 spratova,,Centralno grejanje,174000.0,Da,,
Beograd,Rakovica opština,Skojevsko Naselje,106.0,4 sobe,2/3 sprata,Renovirano,,250000.0,,,
Beograd,Vračar,Kalenić,95.0,4 sobe,3/5 spratova,,Centralno grejanje,406300.0,,,Da
Beograd,Stari Grad opština,Beograd centar,87.0,3 sobe,3/5 spratova,,Centralno grejanje,499000.0,Da,,
Beograd,Vračar,Slavija,149.0,4 sobe,5/5 spratova,,Centralno grejanje,687000.0,,,Da
Beograd,Vračar,Kalenić,157.0,4 sobe,4/5 spratova,,Centralno grejanje,725000.0,,,Da
Beograd,Stari Grad opština,Dorćol,31.0,1 soba,1/6 spratova,Renovirano,Etažno grejanje,119000.0,Da,,
Beograd,Voždovac opština,Medaković,77.0,2.5 soba,8/10 spratova,,Centralno grejanje,179000.0,Da,,Da
Beograd,Zvezdara opština,Učiteljsko Naselje,36.0,1.5 soba,3/4 sprata,,Centralno grejanje,125000.0,Da,,Da
Beograd,Palilula opština,Karaburma,51.0,2.5 soba,11/11 spratova,,Centralno grejanje,102000.0,Da,,Da
Beograd,Vračar,Crveni Krst Vračar,86.0,3 sobe,3/6 spratova,,Centralno grejanje,212500.0,Da,,Da
Beograd,Zvezdara opština,Vukov Spomenik,135.0,4 sobe,6/7 spratova,,Centralno grejanje,470000.0,,,Da
Beograd,Vračar,Kalenić,40.0,1.5 soba,3/11 spratova,,Centralno grejanje,168000.0,Da,,Da
